Designator,Mid X,Mid Y,Rotation,Layer
C1,-25.52,-13.95,90.0,bottom
C10,-1.2,-26.43,90.0,bottom
C11,-19.22,-29.45,90.0,bottom
C12,-37.19,-30.94,90.0,bottom
C13,-25.5,-47.95,90.0,bottom
C14,-7.53,-46.43,90.0,bottom
C15,10.48,-43.46,90.0,bottom
C16,28.49,-46.44,90.0,bottom
C17,46.5,-49.43,90.0,bottom
C18,64.49,-49.41,90.0,bottom
C19,-10.76,-64.64,90.0,bottom
C2,-7.53,-12.43,90.0,bottom
C20,-31.24,-68.03,78.0,bottom
C21,-43.07,-65.49,156.0,bottom
C22,-52.57,-23.44,0.0,bottom
C23,-52.49,-27.4,0.0,bottom
C24,-52.46,-31.24,0.0,bottom
C3,10.47,-9.43,90.0,bottom
C4,28.47,-12.45,90.0,bottom
C5,46.5,-15.43,90.0,bottom
C6,64.48,-15.44,90.0,bottom
C7,52.8,-32.45,90.0,bottom
C8,34.8,-32.43,90.0,bottom
C9,16.79,-29.43,90.0,bottom
CH1,-31.36,-18.63,0.0,bottom
CH10,4.64,-31.13,0.0,bottom
CH11,-13.36,-34.13,0.0,bottom
CH12,-31.36,-35.63,0.0,bottom
CH13,-31.36,-52.63,0.0,bottom
CH14,-13.36,-51.13,0.0,bottom
CH15,4.64,-48.13,0.0,bottom
CH16,22.64,-51.13,0.0,bottom
CH17,40.64,-54.13,0.0,bottom
CH18,58.64,-54.13,0.0,bottom
CH19,-4.91,-69.33,0.0,bottom
CH2,-13.36,-17.13,0.0,bottom
CH20,-24.566666,-71.384972,348.0,bottom
CH21,-44.936843,-72.711298,66.0,bottom
CH3,4.64,-14.13,0.0,bottom
CH4,22.64,-17.13,0.0,bottom
CH5,40.64,-20.13,0.0,bottom
CH6,58.64,-20.13,0.0,bottom
CH7,58.64,-37.13,0.0,bottom
CH8,40.64,-37.13,0.0,bottom
CH9,22.64,-34.13,0.0,bottom
D1,-25.51,-23.2425,270.0,bottom
D10,10.49,-35.75,270.0,bottom
D11,-7.5,-38.77,270.0,bottom
D12,-25.52,-40.28,270.0,bottom
D13,-25.51,-57.27,270.0,bottom
D14,-7.5,-55.78,270.0,bottom
D15,10.5,-52.79,270.0,bottom
D16,28.5,-55.79,270.0,bottom
D17,46.5,-58.76,270.0,bottom
D18,64.48,-58.81,270.0,bottom
D19,0.97,-73.99,270.0,bottom
D2,-7.5,-21.77,270.0,bottom
D20,-17.86,-74.71,258.0,bottom
D21,-46.8,-79.92,336.0,bottom
D22,-46.2325,-44.83,180.0,top
D3,10.49,-18.79,270.0,bottom
D4,28.51,-21.8,270.0,bottom
D5,46.51,-24.77,270.0,bottom
D6,64.51,-24.78,270.0,bottom
D7,64.5,-41.75,270.0,bottom
D8,46.49,-41.79,270.0,bottom
D9,28.51,-38.78,270.0,bottom
LED1,-31.325,-13.74,180.0,bottom
LED10,4.675,-26.24,0.0,bottom
LED11,-13.325,-29.24,0.0,bottom
LED12,-31.325,-30.74,0.0,bottom
LED13,-31.325,-47.74,180.0,bottom
LED14,-13.325,-46.24,180.0,bottom
LED15,4.675,-43.24,180.0,bottom
LED16,22.675,-46.24,180.0,bottom
LED17,40.675,-49.24,180.0,bottom
LED18,58.675,-49.24,180.0,bottom
LED19,-4.875,-64.44,0.0,bottom
LED2,-13.325,-12.24,180.0,bottom
LED20,-25.54912,-66.594555,348.0,bottom
LED21,-40.455368,-70.75433,66.0,bottom
LED3,4.675,-9.24,180.0,bottom
LED4,22.675,-12.24,180.0,bottom
LED5,40.675,-15.24,180.0,bottom
LED6,58.675,-15.24,180.0,bottom
LED7,58.675,-32.24,0.0,bottom
LED8,40.675,-32.24,0.0,bottom
LED9,22.675,-29.24,0.0,bottom
R1,-47.62,-51.63,270.0,top
R2,-44.18,-51.64,270.0,top
R3,-28.24,-18.63,90.0,bottom
USB_C_1,-57.17,-51.13,270.0,top
