Designator,Mid X,Mid Y,Rotation,Layer
C1_2,139.945,-23.04,0.0,bottom
C1,-46.415,-22.015,180.0,bottom
C10_2,121.475,-40.94,90.0,bottom
C10,-28.285,-39.655,90.0,bottom
C11_2,139.465,-42.45,90.0,bottom
C11,-46.415,-42.155,90.0,bottom
C12_2,156.565,-45.12,90.0,bottom
C12,-62.485,-42.835,90.0,bottom
C13_2,139.725,-59.74,270.0,bottom
C13,-46.505,-59.845,270.0,bottom
C14_2,121.685,-58.32,270.0,bottom
C14,-28.445,-56.765,90.0,bottom
C15_2,103.705,-55.6,270.0,bottom
C15,-10.485,-57.765,90.0,bottom
C16_2,85.615,-59.12,270.0,bottom
C16,7.615,-60.435,90.0,bottom
C17_2,68.015,-59.51,0.0,bottom
C17,25.585,-58.565,90.0,bottom
C18_2,51.015,-61.72,270.0,bottom
C18,42.315,-59.695,90.0,bottom
C19_2,130.985,-75.5,90.0,bottom
C19,-37.925,-75.545,90.0,bottom
C2_2,121.665,-24.25,270.0,bottom
C2,-28.479428,-23.886674,90.0,bottom
C20_2,151.565,-79.9,102.0,bottom
C20,-57.185,-79.465,78.0,bottom
C21_2,161.735,-92.66,204.0,bottom
C21,-69.845,-93.155,336.0,bottom
C22_2,177.065,-102.45,216.0,bottom
C22,-84.975,-102.345,324.0,bottom
C23_2,169.515,-33.94,0.0,bottom
C23,-76.455,-35.735,0.0,bottom
C24_2,169.515,-38.2,0.0,bottom
C24,-76.455,-39.995,0.0,bottom
C25_2,169.465,-42.7,0.0,bottom
C25,-76.405,-44.495,0.0,bottom
C3_2,103.575,-23.88,270.0,bottom
C3,-10.485,-23.886674,270.0,bottom
C4_2,85.645,-26.79,270.0,bottom
C4,7.565,-27.025,270.0,bottom
C5_2,67.565,-23.33,0.0,bottom
C5,25.645,-23.035,180.0,bottom
C6_2,50.485,-27.86,270.0,bottom
C6,42.465,-27.185,270.0,bottom
C7_2,66.775,-44.34,270.0,bottom
C7,25.495,-44.145,90.0,bottom
C8_2,84.835,-44.34,270.0,bottom
C8,7.205,-42.675,90.0,bottom
C9_2,101.345,-42.91,0.0,bottom
C9,-10.415,-44.695,90.0,bottom
CH1_2,148.625,-30.5,0.0,bottom
CH1,-55.415,-30.375,0.0,bottom
CH10_2,112.625,-43.0,0.0,bottom
CH10,-19.415,-42.875,0.0,bottom
CH11_2,130.625,-46.0,0.0,bottom
CH11,-37.415,-45.875,0.0,bottom
CH12_2,148.625,-47.5,0.0,bottom
CH12,-55.415,-47.375,0.0,bottom
CH13_2,148.625,-64.5,0.0,bottom
CH13,-55.415,-64.375,0.0,bottom
CH14_2,130.625,-63.0,0.0,bottom
CH14,-37.415,-62.875,0.0,bottom
CH15_2,112.625,-60.0,0.0,bottom
CH15,-19.415,-59.875,0.0,bottom
CH16_2,94.625,-63.0,0.0,bottom
CH16,-1.415,-62.875,0.0,bottom
CH17_2,76.625,-66.0,0.0,bottom
CH17,16.585,-65.875,0.0,bottom
CH18_2,58.625,-66.0,0.0,bottom
CH18,34.585,-65.875,0.0,bottom
CH19_2,122.125,-80.5,0.0,bottom
CH19,-28.915,-80.375,0.0,bottom
CH2_2,130.625,-29.0,0.0,bottom
CH2,-37.415,-28.875,0.0,bottom
CH20_2,141.795,-82.56,12.0,bottom
CH20,-48.585,-82.435,348.0,bottom
CH21_2,162.165,-83.93,114.0,bottom
CH21,-68.955,-83.805,246.0,bottom
CH22_2,179.3699,-93.8411,126.0,bottom
CH22,-86.159915,-93.716074,234.0,bottom
CH3_2,112.625,-26.0,0.0,bottom
CH3,-19.415,-25.875,0.0,bottom
CH4_2,94.625,-29.0,0.0,bottom
CH4,-1.415,-28.875,0.0,bottom
CH5_2,76.625,-32.0,0.0,bottom
CH5,16.585,-31.875,0.0,bottom
CH6_2,58.625,-32.0,0.0,bottom
CH6,34.585,-31.875,0.0,bottom
CH7_2,58.625,-49.0,0.0,bottom
CH7,34.585,-48.875,0.0,bottom
CH8_2,76.625,-49.0,0.0,bottom
CH8,16.585,-48.875,0.0,bottom
CH9_2,94.625,-46.0,0.0,bottom
CH9,-1.415,-45.875,0.0,bottom
D1_2,151.715,-31.2,270.0,bottom
D1,-52.245,-31.825,270.0,bottom
D10_2,115.805,-43.9625,270.0,bottom
D10,-16.285,-43.625,270.0,bottom
D11_2,133.765,-46.54,270.0,bottom
D11,-34.255,-47.125,270.0,bottom
D12_2,151.855,-48.1125,270.0,bottom
D12,-52.255,-48.7575,270.0,bottom
D13_2,151.725,-65.1,270.0,bottom
D13,-52.245,-65.705,270.0,bottom
D14_2,133.755,-63.64,270.0,bottom
D14,-34.255,-64.065,270.0,bottom
D15_2,115.805,-60.56,270.0,bottom
D15,-16.155,-60.935,270.0,bottom
D16_2,97.875,-63.4825,270.0,bottom
D16,1.675,-63.825,270.0,bottom
D17_2,79.835,-66.8525,270.0,bottom
D17,19.775,-67.2875,270.0,bottom
D18_2,61.795,-66.7925,270.0,bottom
D18,37.785,-66.8475,270.0,bottom
D19_2,125.325,-81.47,270.0,bottom
D19,-25.705,-81.095,270.0,bottom
D2_2,133.775,-30.2325,270.0,bottom
D2,-34.235,-29.935,270.0,bottom
D20_2,144.805,-83.72,282.0,bottom
D20,-45.425,-82.215,258.0,bottom
D21_2,160.755,-86.74,24.0,bottom
D21,-70.245,-80.745,156.0,bottom
D22_2,177.035,-96.24,36.0,bottom
D22,-88.245,-90.855,144.0,bottom
D3_2,115.815,-26.72,270.0,bottom
D3,-16.245,-26.825,270.0,bottom
D4_2,97.795,-29.53,270.0,bottom
D4,1.745,-29.775,270.0,bottom
D5_2,79.805,-32.77,270.0,bottom
D5,19.785,-33.345,270.0,bottom
D6_2,61.765,-32.92,270.0,bottom
D6,37.785,-32.905,270.0,bottom
D7_2,61.765,-49.4925,270.0,bottom
D7,37.775,-49.965,270.0,bottom
D8_2,79.715,-50.1025,270.0,bottom
D8,19.735,-49.8775,270.0,bottom
D9_2,97.855,-46.59,270.0,bottom
D9,1.685,-46.505,270.0,bottom
