Designator,Mid X,Mid Y,Rotation,Layer
LED1_2,148.625,-25.5,0.0,bottom
LED1,-55.415,-25.375,180.0,bottom
LED10_2,112.625,-38.0,180.0,bottom
LED10,-19.415,-37.875,0.0,bottom
LED11_2,130.625,-41.0,180.0,bottom
LED11,-37.415,-40.875,0.0,bottom
LED12_2,148.625,-42.5,180.0,bottom
LED12,-55.415,-42.375,0.0,bottom
LED13_2,148.625,-59.5,0.0,bottom
LED13,-55.415,-59.375,180.0,bottom
LED14_2,130.625,-58.0,0.0,bottom
LED14,-37.415,-57.875,180.0,bottom
LED15_2,112.625,-55.0,0.0,bottom
LED15,-19.415,-54.875,180.0,bottom
LED16_2,94.625,-58.0,0.0,bottom
LED16,-1.415,-57.875,180.0,bottom
LED17_2,76.625,-61.0,0.0,bottom
LED17,16.585,-60.875,180.0,bottom
LED18_2,58.625,-61.0,0.0,bottom
LED18,34.585,-60.875,180.0,bottom
LED19_2,122.125,-75.5,180.0,bottom
LED19,-28.915,-75.375,0.0,bottom
LED2_2,130.625,-24.0,0.0,bottom
LED2,-37.415,-23.875,180.0,bottom
LED20_2,142.8346,-77.6693,192.0,bottom
LED20,-49.624559,-77.544262,348.0,bottom
LED21_2,166.7327,-85.9637,294.0,bottom
LED21,-73.522727,-85.838683,246.0,bottom
LED22_2,183.365,-96.78,306.0,bottom
LED22,-90.155,-96.655,234.0,bottom
LED3_2,112.625,-21.0,0.0,bottom
LED3,-19.415,-20.875,180.0,bottom
LED4_2,94.625,-24.0,0.0,bottom
LED4,-1.415,-23.875,180.0,bottom
LED5_2,76.625,-27.0,0.0,bottom
LED5,16.585,-26.875,180.0,bottom
LED6_2,58.625,-27.0,0.0,bottom
LED6,34.585,-26.875,180.0,bottom
LED7_2,58.625,-44.0,180.0,bottom
LED7,34.585,-43.875,0.0,bottom
LED8_2,76.625,-44.0,180.0,bottom
LED8,16.585,-43.875,0.0,bottom
LED9_2,94.625,-41.0,180.0,bottom
LED9,-1.415,-40.875,0.0,bottom
R1_2,161.125,-55.69,180.0,bottom
R1,-68.415,-59.315,180.0,bottom
R2_2,161.125,-59.0,180.0,bottom
R2,-68.415,-56.005,180.0,bottom
R3_2,156.375,-27.06,0.0,bottom
R3,-63.325,-26.205,180.0,bottom
