Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C10_2, C10, C11_2, C11, C12_2, C12, C13_2, C13, C14_2, C14, C15_2, C15, C16_2, C16, C17_2, C17, C18_2, C18, C19_2, C19, C2_2, C2, C20_2, C20, C21_2, C21, C22_2, C22, C3_2, C3, C4_2, C4, C5_2, C5, C6_2, C6, C7_2, C7, C8_2, C8, C9_2, C9",1206,44,0.1µF,
"C23_2, C23, C24_2, C24, C25_2, C25",1210,6,100uF,
"CH1_2, CH1, CH10_2, CH10, CH11_2, CH11, CH12_2, CH12, CH13_2, CH13, CH14_2, CH14, CH15_2, CH15, CH16_2, CH16, CH17_2, CH17, CH18_2, CH18, CH19_2, CH19, CH2_2, CH2, CH20_2, CH20, CH3_2, CH3, CH4_2, CH4, CH5_2, CH5, CH6_2, CH6, CH7_2, CH7, CH8_2, CH8, CH9_2, CH9",SW_choc_v1_HS_CPG135001S30_1u,40,choc_v1_SW_HS,
"CH21_2, CH21, CH22_2, CH22",SW_choc_v1_HS_CPG135001S30_1.5u,4,choc_v1_SW_HS,
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D20_2, D20, D21_2, D21, D22_2, D22, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",D_SOD-123,44,1N4148W,
"J1_2, J1",CON_MJ-4PP-9_Reversible,2,AudioJack4,
"LED1_2, LED1, LED10_2, LED10, LED11_2, LED11, LED12_2, LED12, LED13_2, LED13, LED14_2, LED14, LED15_2, LED15, LED16_2, LED16, LED17_2, LED17, LED18_2, LED18, LED19_2, LED19, LED2_2, LED2, LED20_2, LED20, LED21_2, LED21, LED22_2, LED22, LED3_2, LED3, LED4_2, LED4, LED5_2, LED5, LED6_2, LED6, LED7_2, LED7, LED8_2, LED8, LED9_2, LED9",LED_6028R,44,SK6812MINI-E,
"R1_2, R2_2",1206,2,R,
"R1, R2, R3",1206,3,100R,
R3_2,1206,1,47R,
